billing_class,billing_code, billing_code_type, billing_code_modifier
"professional","L0830","HCPCS","['RR']"
"institutional","C7522","HCPCS","[]"
"institutional","22310","CPT","[]"
"professional","L5654","HCPCS","['UE']"
"professional","L5811","HCPCS","['NU']"
"professional","99407","CPT","['G0']"
"professional","70487","CPT","['26']"
"professional","99427","CPT","[]"
"professional","E2224","HCPCS","['RR']"
"professional","77435","CPT","['26']"
"professional","H0046","HCPCS","['XP','U1','HO']"
"institutional","15116","CPT","[]"
"professional","81299","CPT","['26']"
"professional","61635","CPT","[]"
"professional","86609","CPT","['27']"
"professional","86727","CPT","['U1']"
"institutional","0707","MS-DRG","[]"
"professional","H2020","HCPCS","['TF']"
"professional","21337","CPT","[]"
"professional","H0046","HCPCS","['HP','XP','U1']"
"professional","81106","CPT","['26']"
"professional","99243","CPT","['26']"
"professional","30462","CPT","['U1']"
"professional","76018","CPT","['26']"
"professional","86235","CPT","['TC']"
"professional","81287","CPT","['TC']"
"professional","82040","CPT","['27']"
"professional","82373","CPT","[]"
"professional","E2310","HCPCS","['UE','NU','KE']"
"professional","54316","CPT","[]"
"professional","35606","CPT","['U1']"
"professional","93018","CPT","['U1']"
"professional","77077","CPT","['U1']"
"professional","83051","CPT","['TC']"
"professional","E0746","HCPCS","['UE']"
"professional","E0602","HCPCS","[]"
"professional","20912","CPT","['U1']"
"professional","C2629","HCPCS","[]"
"professional","86641","CPT","[]"
"professional","E2322","HCPCS","['KI']"
"professional","54240","CPT","['27']"
"institutional","91040","CPT","[]"
"professional","A4637","HCPCS","['UE']"
"professional","L8691","HCPCS","['NU']"
"professional","10180","CPT","['U1']"
"professional","25605","CPT","[]"
"professional","33863","CPT","['U1']"
"institutional","68320","CPT","[]"
"professional","01716","CPT","[]"
"professional","Q0490","HCPCS","[]"
"institutional","43634","CPT","[]"
"professional","E0175","HCPCS","['NU']"
"professional","0418U","CPT","[]"
"professional","93798","CPT","['26']"
"professional","0215T","CPT","[]"
"institutional","C7534","HCPCS","[]"
"professional","78015","CPT","['26']"
"professional","87186","CPT","['U1']"
"professional","76529","CPT","['27']"
"institutional","43620","CPT","[]"
"professional","38221","CPT","['U1']"
"professional","92546","CPT","['27']"
"institutional","19328","CPT","[]"
"institutional","19300","CPT","[]"
"professional","87337","CPT","['27']"
"professional","25300","CPT","['U1']"
