billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,85250,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,27267,CPT,['U1'],ALLOW,ok,
professional,88189,CPT,['TC'],ALLOW,ok,
professional,89329,CPT,['U1'],ALLOW,ok,
professional,E0880,HCPCS,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
institutional,D027HZZ,ICD,[],ALLOW,ok,
institutional,55110,CPT,[],ALLOW,ok,
professional,23174,CPT,[],ALLOW,ok,
professional,Q4203,HCPCS,[],ALLOW,ok,
professional,A5055,HCPCS,[],ALLOW,ok,
professional,50785,CPT,['U1'],ALLOW,ok,
institutional,35236,CPT,[],ALLOW,ok,
institutional,62302,CPT,[],ALLOW,ok,
professional,J7682,HCPCS,[],ALLOW,ok,
professional,S5000,HCPCS,[],ALLOW,ok,
institutional,35533,CPT,[],ALLOW,ok,
professional,86880,CPT,['26'],ALLOW,ok,
professional,36252,CPT,[],ALLOW,ok,
professional,50576,CPT,['U1'],ALLOW,ok,
professional,G8478,HCPCS,[],ALLOW,ok,
institutional,0463,MS-DRG,[],ALLOW,ok,
professional,33800,CPT,[],ALLOW,ok,
institutional,47145,CPT,[],ALLOW,ok,
professional,64832,CPT,['U1'],ALLOW,ok,
professional,S0250,HCPCS,[],ALLOW,ok,
institutional,DF21JZZ,ICD,[],ALLOW,ok,
institutional,DD24HZZ,ICD,[],ALLOW,ok,
professional,45307,CPT,['U1'],ALLOW,ok,
professional,L0190,HCPCS,['NU'],ALLOW,ok,
professional,E1235,HCPCS,['KH'],ALLOW,ok,
professional,E2373,HCPCS,['KI'],ALLOW,ok,
professional,43273,CPT,[],ALLOW,ok,
professional,K0746,HCPCS,[],ALLOW,ok,
professional,L8043,HCPCS,[],ALLOW,ok,
institutional,29895,CPT,[],ALLOW,ok,
institutional,44680,CPT,[],ALLOW,ok,
professional,S5571,HCPCS,[],ALLOW,ok,
professional,E0952,HCPCS,['NU'],ALLOW,ok,
professional,81345,CPT,[],ALLOW,ok,
institutional,49591,CPT,[],ALLOW,ok,
institutional,27566,CPT,[],ALLOW,ok,
professional,78832,CPT,['26'],ALLOW,ok,
professional,L6690,HCPCS,['NU'],ALLOW,ok,
institutional,29881,CPT,[],ALLOW,ok,
professional,57320,CPT,[],ALLOW,ok,
professional,87275,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,G8420,HCPCS,[],ALLOW,ok,
professional,E0272,HCPCS,['RR'],ALLOW,ok,
professional,K0815,HCPCS,['KH'],ALLOW,ok,
institutional,62143,CPT,[],ALLOW,ok,
professional,47741,CPT,[],ALLOW,ok,
professional,80165,CPT,[],ALLOW,ok,
professional,87498,CPT,['TC'],ALLOW,ok,
professional,S0208,HCPCS,[],ALLOW,ok,
professional,L6693,HCPCS,[],ALLOW,ok,
professional,J3375,HCPCS,[],ALLOW,ok,
professional,86638,CPT,['U1'],ALLOW,ok,
professional,96165,CPT,['G0'],ALLOW,ok,
professional,80076,CPT,['U1'],ALLOW,ok,
professional,K0050,HCPCS,"['NU','RR','KE']",ALLOW,ok,
professional,61333,CPT,['U1'],ALLOW,ok,
institutional,61692,CPT,[],ALLOW,ok,
professional,40806,CPT,['U1'],ALLOW,ok,
institutional,61686,CPT,[],ALLOW,ok,
professional,A4283,HCPCS,[],ALLOW,ok,
professional,94726,CPT,['26'],ALLOW,ok,
professional,J0666,HCPCS,[],ALLOW,ok,
professional,87486,CPT,['26'],ALLOW,ok,
institutional,54390,CPT,[],ALLOW,ok,
professional,86658,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,A0430,HCPCS,[],ALLOW,ok,
professional,68100,CPT,['U1'],ALLOW,ok,
professional,80434,CPT,['26'],ALLOW,ok,
professional,88364,CPT,['26'],ALLOW,ok,
professional,60650,CPT,['U1'],ALLOW,ok,
professional,48146,CPT,[],ALLOW,ok,
professional,A6602,HCPCS,[],ALLOW,ok,
institutional,0256,MS-DRG,[],ALLOW,ok,
professional,93298,CPT,['U1'],ALLOW,ok,
professional,99342,CPT,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,E2311,HCPCS,"['UE','NU','KE']",ALLOW,ok,
professional,27245,CPT,['U1'],ALLOW,ok,
professional,37650,CPT,['U1'],ALLOW,ok,
professional,Q4147,HCPCS,[],ALLOW,ok,
professional,81007,CPT,['TC'],ALLOW,ok,
institutional,57455,CPT,[],ALLOW,ok,
professional,32851,CPT,[],ALLOW,ok,
professional,80158,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,L5840,HCPCS,['NU'],ALLOW,ok,
professional,86334,CPT,['26'],ALLOW,ok,
professional,66150,CPT,['U1'],ALLOW,ok,
professional,73590,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,83150,CPT,['26'],ALLOW,ok,
professional,23350,CPT,[],ALLOW,ok,
professional,T1025,HCPCS,[],ALLOW,ok,
